Region;2009;2010;2011;2012;2013
Total;17 485 360;19 898 330;20 056 297;20 710 818;21 507 750
ALSACE;439 580;471 213;492 029;530 341;560 062
AQUITAINE;933 646;1 048 368;1 087 115;1 106 685;1 141 008
AUVERGNE;362 458;398 778;407 044;417 948;443 485
BASSE-NORMANDIE;306 745;346 279;372 640;389 150;404 001
BOURGOGNE;430 449;477 357;497 139;491 077;503 473
BRETAGNE;798 899;898 123;875 719;920 857;970 083
CENTRE;615 653;687 458;698 958;735 947;792 485
CHAMPAGNE-ARDENNE;329 194;337 662;337 108;334 668;333 833
FRANCHE-COMT�;296 866;400 510;467 198;507 032;525 074
HAUTE-NORMANDIE;383 097;407 558;435 825;464 404;460 824
ILE-DE-FRANCE;3 838 341;4 326 783;4 111 289;4 224 749;4 424 874
LANGUEDOC-ROUSSILLON;839 748;861 743;832 495;1 012 578;1 104 081
LIMOUSIN;194 083;224 204;223 352;231 553;233 395
LORRAINE;494 611;940 327;1 113 850;915 626;889 699
MIDI-PYR�N�ES;759 257;850 916;854 002;879 868;909 606
NORD-PAS-DE-CALAIS;1 031 191;1 152 405;1 200 161;1 277 920;1 328 637
PAYS DE LA LOIRE;827 860;925 319;950 027;998 638;1 034 995
PICARDIE;406 684;434 481;425 818;443 275;465 022
POITOU-CHARENTES;473 797;519 458;528 396;546 217;580 255
PROVENCE-ALPES-C�TE D'AZUR;2 035 323;2 273 059;2 203 197;2 234 682;2 182 824
RH�NE-ALPES;1 687 878;1 916 330;1 942 937;2 047 606;2 220 033
