Region;2009;2010;2011;2012;2013
Total;1 594 710;1 737 612;1 731 429;1 753 631;1 783 631
ALSACE;38 243;40 790;42 068;44 835;45 502
AQUITAINE;87 555;94 159;96 314;95 715;97 520
AUVERGNE;34 450;36 464;36 476;37 038;38 977
BASSE-NORMANDIE;28 956;31 386;32 967;33 545;34 268
BOURGOGNE;40 232;42 681;44 233;42 558;42 782
BRETAGNE;72 869;78 315;76 155;78 475;81 000
CENTRE;56 704;61 371;62 194;63 369;66 838
CHAMPAGNE-ARDENNE;29 998;29 935;29 495;28 613;27 941
FRANCHE-COMTÉ;27 980;34 988;40 032;42 669;42 630
HAUTE-NORMANDIE;35 403;36 502;38 303;39 963;38 710
ILE-DE-FRANCE;344 803;373 035;352 573;354 062;363 615
LANGUEDOC-ROUSSILLON;74 711;74 371;70 780;84 025;88 789
LIMOUSIN;17 956;20 023;19 807;19 966;19 455
LORRAINE;46 751;79 289;91 981;75 058;72 118
MIDI-PYRÉNÉES;69 493;75 129;74 270;74 971;74 950
NORD-PAS-DE-CALAIS;93 845;100 497;103 780;108 248;110 309
PAYS DE LA LOIRE;75 400;81 054;82 037;84 481;86 747
PICARDIE;36 705;37 642;36 409;37 255;38 829
POITOU-CHARENTES;43 642;46 032;45 691;46 712;48 026
PROVENCE-ALPES-CÔTE D'AZUR;186 014;198 382;188 970;189 105;181 117
RHÔNE-ALPES;152 999;165 566;166 894;172 968;183 508
